Id,Latitude,Longitude
361,39.795253,-86.238747
362,39.795262,-86.238747
363,39.795271,-86.238747
364,39.79528,-86.238748
365,39.795289,-86.238748
366,39.795298,-86.238748
367,39.795307,-86.238748
368,39.795316,-86.238749
369,39.795325,-86.238749
370,39.795334,-86.238749
371,39.795343,-86.238749
372,39.795352,-86.238749
373,39.795361,-86.23875
374,39.79537,-86.23875
375,39.795379,-86.23875
376,39.795388,-86.23875
377,39.795397,-86.23875
378,39.795406,-86.23875
379,39.795415,-86.23875
380,39.795424,-86.23875
381,39.795433,-86.23875
382,39.795442,-86.23875
383,39.795451,-86.23875
384,39.79546,-86.23875
385,39.795469,-86.238751
386,39.795478,-86.238751
387,39.795487,-86.238751
388,39.795496,-86.238751
389,39.795505,-86.238751
390,39.795514,-86.238751
391,39.795523,-86.238751
392,39.795532,-86.238751
393,39.795541,-86.238752
394,39.79555,-86.238752
395,39.795559,-86.238752
396,39.795568,-86.238752
397,39.795577,-86.238752
398,39.795586,-86.238753
399,39.795595,-86.238753
400,39.795604,-86.238753
401,39.795613,-86.238753
402,39.795622,-86.238753
403,39.79563,-86.238753
404,39.795639,-86.238753
405,39.795648,-86.238753
406,39.795657,-86.238753
407,39.795666,-86.238753
408,39.795675,-86.238753
409,39.795684,-86.238753
410,39.795693,-86.238753
411,39.795702,-86.238754
412,39.795711,-86.238754
413,39.79572,-86.238754
414,39.795729,-86.238754
415,39.795738,-86.238754
416,39.795747,-86.238754
417,39.795756,-86.238754
418,39.795765,-86.238754
419,39.795774,-86.238755
420,39.795783,-86.238755
421,39.795792,-86.238755
422,39.795801,-86.238755
423,39.79581,-86.238755
424,39.795819,-86.238755
425,39.795828,-86.238756
426,39.795837,-86.238756
427,39.795846,-86.238756
428,39.795855,-86.238756
429,39.795864,-86.238756
430,39.795873,-86.238756
431,39.795882,-86.238756
432,39.795891,-86.238756
433,39.7959,-86.238756
434,39.795909,-86.238756
435,39.795918,-86.238756
436,39.795927,-86.238756
437,39.795936,-86.238757
438,39.795945,-86.238757
439,39.795954,-86.238757
440,39.795963,-86.238757
441,39.795972,-86.238757
442,39.795981,-86.238757
443,39.79599,-86.238757
444,39.795999,-86.238758
445,39.796008,-86.238758
446,39.796017,-86.238758
447,39.796026,-86.238758
448,39.796035,-86.238758
449,39.796044,-86.238758
450,39.796053,-86.238759
451,39.796062,-86.238759
452,39.796071,-86.238759
453,39.79608,-86.238759
454,39.796089,-86.238759
455,39.796098,-86.238759
456,39.796107,-86.238759
457,39.796116,-86.23876
458,39.796125,-86.23876
459,39.796134,-86.23876
460,39.796143,-86.23876
461,39.796152,-86.23876
462,39.796161,-86.23876
463,39.796169,-86.238761
464,39.796178,-86.238761
465,39.796187,-86.238761
466,39.796196,-86.238761
467,39.796205,-86.238761
468,39.796214,-86.238761
469,39.796223,-86.238761
470,39.796232,-86.238761
471,39.796241,-86.238761
472,39.79625,-86.238761
473,39.796259,-86.238761
474,39.796268,-86.238761
475,39.796277,-86.238762
476,39.796286,-86.238762
477,39.796295,-86.238762
478,39.796304,-86.238762
479,39.796313,-86.238762
480,39.796322,-86.238762
481,39.796331,-86.238762
482,39.79634,-86.238762
483,39.796349,-86.238762
484,39.796358,-86.238763
485,39.796367,-86.238763
486,39.796376,-86.238763
487,39.796385,-86.238763
488,39.796394,-86.238763
489,39.796403,-86.238764
490,39.796412,-86.238764
491,39.796421,-86.238764
492,39.79643,-86.238764
493,39.796439,-86.238764
494,39.796448,-86.238764
495,39.796457,-86.238764
496,39.796466,-86.238765
497,39.796475,-86.238765
498,39.796484,-86.238765
499,39.796493,-86.238765
500,39.796502,-86.238765
501,39.796511,-86.238765
502,39.79652,-86.238766
503,39.796529,-86.238766
504,39.796538,-86.238766
505,39.796547,-86.238766
506,39.796556,-86.238766
507,39.796565,-86.238766
508,39.796574,-86.238766
509,39.796583,-86.238766
510,39.796592,-86.238766
511,39.796601,-86.238766
512,39.79661,-86.238766
513,39.796619,-86.238767
514,39.796628,-86.238767
515,39.796637,-86.238767
516,39.796646,-86.238767
517,39.796655,-86.238767
518,39.796664,-86.238767
519,39.796673,-86.238768
520,39.796682,-86.238768
521,39.796691,-86.238768
522,39.796699,-86.238768
523,39.796708,-86.238769
524,39.796717,-86.238769
525,39.796726,-86.238769
526,39.796735,-86.23877
